time,value
0,0.7473271
0.025,0.8708529
0.05,0.6395726
0.075,0.6452395
0.1,0.638873
0.125,0.5221006
0.15,0.908126
0.175,0.7557967
0.2,0.8695195
0.225,0.6489867
0.25,0.6152533
0.275,0.6000478
0.3,0.7306317
0.325,0.5268321
0.35,0.6450561
0.375,0.681362
0.4,0.6568805
0.425,0.6508501
0.45,0.598244
0.475,0.644861
0.5,0.5830468
0.525,0.6675704
0.55,0.7538764
0.575,0.8005981
0.6,0.6742427
0.625,0.7064259
0.65,0.4909899
0.675,0.7007425
0.7,0.6550632
0.725,0.7944072
0.75,0.8016942
0.775,0.5764726
0.8,0.5702521
0.825,0.5751716
0.85,0.9639555
0.875,0.6768345
0.9,0.6309201
0.925,0.6450199
0.95,0.6935008
0.975,0.5512919
