time,value
0,0.05266961
0.025,0.06641912
0.05,0.09724288
0.075,0.1263648
0.1,0.1453974
0.125,0.1642921
0.15,0.1855733
0.175,0.1983763
0.2,0.2163321
0.225,0.2275881
0.25,0.2516672
0.275,0.2302242
0.3,0.2535866
0.325,0.2524394
0.35,0.2857053
0.375,0.2896392
0.4,0.2748069
0.425,0.2937674
0.45,0.3339331
0.475,0.3451864
0.5,0.3626304
0.525,0.3599318
0.55,0.3628924
0.575,0.3716211
0.6,0.3712076
0.625,0.3934195
0.65,0.3845075
0.675,0.3886396
0.7,0.39697
0.725,0.3949757
0.75,0.3952717
0.775,0.4107798
0.8,0.3863054
0.825,0.3933908
0.85,0.4036053
0.875,0.4037287
0.9,0.3906588
0.925,0.396761
0.95,0.4264957
0.975,0.3903032
