time,value
0,145
0.025,221
0.05,158
0.075,180
0.1,210
0.125,142
0.15,266
0.175,127
0.2,148
0.225,160
0.25,133
0.275,155
0.3,147
0.325,112
0.35,154
0.375,199
0.4,228
0.425,252
0.45,232
0.475,142
0.5,169
0.525,124
0.55,115
0.575,192
0.6,157
0.625,147
0.65,173
0.675,151
0.7,144
0.725,131
